"-OR-","-HOẶC-"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Thêm một nút Express Checkout vào giỏ mua hàng của bạn để thanh toán bằng thẻ tín dụng nhanh chóng và dễ dàng. PayPal xử lý tất cả các xử lý thanh toán."
"Additional Options","Thêm Tùy chọn"
"Address Verification System Response","Địa chỉ xác nhận đáp ứng hệ thống"
"All the address information matched","Tất cả các thông tin địa chỉ phù hợp"
"Allow in Billing Agreement Wizard","Cho phép thanh toán thỏa thuận theo thỏa thuận"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Cho phép giá trị : "" paypal "", "" primary "" (mặc định), your_custom_value (thanh toán kiểu trang tùy chỉnh từ hồ sơ tài khoản thương mại của bạn)."
"Allowed Credit Card Types","Cho phép các loại thẻ tín dụng"
"Also affects mini-shopping cart.","Cũng ảnh hưởng đến giỏ mua hàng nhỏ."
"Ask Customer","Yêu cầu Khách hàng"
"Attempted Authentication, Bad Result","Cố gắn Xác thực,Kết quả xấu"
"Attempted Authentication, Good Result","Cố gắn Xác thực,Kết quả tốt"
"Auction Payment other than through eBay","Thanh toán đấu giá khác hơn là thông qua eBay"
"Authenticated, Bad Result","Chứng thực, kết quả xấu"
"Authenticated, Good Result","Authenticated, Kết quả tốt"
"Authorization","Xác thực"
"Authorization Honor Period (days)","Thời gian xác thực (ngày)"
"Authorization transaction is required to void.","Giao dịch xác thực là cần thiết để làm mất hiệu lực."
"Authorized amount of %s.","Số lượng có thẩm quyền của %s."
"Authorizing amount of %s is pending approval on gateway.","Xác thực cho số lượng %s đang chờ phê duyệt."
"Auto","Tự động"
"AutoSweep","Quét tự động"
"Available Balance","Số dư có sẵn"
"Balance Manager Account Bonus","Quản lý tài khoản thưởng"
"Billing Address","Địa chỉ hóa đơn"
"Billing Agreement Signup ","Đăng kí thỏa thuận thanh toán "
"Billing Informatian","Thông tin thanh  toán"
"Bonus for first ACH Use","Tiền thưởng cho lần đầu tiên sử dụng ACH"
"Buyer Credit Payment","Thanh toán tín dụng của người mua"
"Buyer\'s Tax ID","Mã số thuế cho người mua"
"Buyer\'s Tax ID Type","Loại thuế của người mua"
"By default it is ""reports.paypal.com"".","Theo mặc định là "" reports.paypal.com "". "
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","CVV2 Kiểm tra kết quả bằng PayPal"
"Can not send new order email.","Không thể gửi email đặt hàng mới."
"Cannot create target file for reading reports.","Không thể tạo tập tin mục tiêu cho các báo cáo."
"Centinel API URL","ULR API "
"Centinel Custom API URL","Centinel Custom API URL"
"Change Payment Method","Thay đổi phương thức thanh toán"
"Change Shipping Addráo","Thay đổi địa chỉ giao hàng"
"Charge-off","Khoảng nợ"
"Chargeback","Chi phí"
"Chargeback by customer.","Hoàn trả phí lại cho khách hàng."
"Checkout with PayPal","Thanh toán với PayPal"
"Completion Date","Ngày kết thúc"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Kết nối với máy chủ SFTP PayPal để lấy báo cáo mới. Bạn có chắc chắn bạn muốn tham gia thảo luận?"
"Countries Payment Applicable From","Nước thanh toán áp dụng"
"Coupon Redemption","Phiếu giảm giá "
"Credit","Thẻ tín dụng"
"Credit Card Settings","Cài đặt thẻ tín dụng"
"Currency Conversion required to cover negative balance","Chuyển đổi ngoại tệ cần thiết để trang trải sự không cân đối"
"Custom","Custom"
"Custom Endpoint Hostname or IP-Address","Tuỳ chỉnh thiết bị đầu cuối tên máy chủ hoặc địa chỉ IP"
"Custom Path","Tuỳ chỉnh Đường dẫn"
"Customer complaint.","Phàn nàn của khách hàng."
"Customer did not include a confirmed address.","Khách hàng không có một địa chỉ xác nhận."
"Customer triggered a money-back guarantee.","Khách hàng đã Đã yêu cầu trả lại tiền."
"Daily","Hàng ngày "
"Debit","Công nợ"
"Debit Card Cash Back","Thẻ ghi nợ thu hồi tiền mặt"
"Debit Card Transaction","Giao dịch thẻ ghi nợ"
"Debit or Credit","Thẻ ghi nợ hoặc thẻ tín dụng"
"Debug Mode","Chế độ gỡ rối"
"Direct Payment API","Thanh toán trực tiếp API "
"Discount","Giảm giá"
"Displays on catalog pages and homepage.","Hiển thị trên các trang danh mục và trang chủ."
"Don't have a PayPal account? Simply enter your email address.","Không có tài khoản PayPal? Đơn giản chỉ cần nhập địa chỉ email của bạn."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Không có tài khoản thương mại PayPal? Bạn vẫn có thể chấp nhận thanh toán bằng thẻ tín dụng thông qua các Cổng Payflow Pro."
"Dynamic","Động"
"EFT Funding (German banking)","Vốn EFT (ngân hàng Đức)"
"Edit Shopping Cart","Sửa giỏ mua hàng"
"Email Associated with PayPal Merchant Account","Gửi mail Liên kết với tài khoản Merchant PayPal"
"Enable Automatic Fetching","Kích hoạt tính năng tự động tìm và nạp"
"Enable PayPal Guest Checkout","Kích hoạt thanh toán PayPal của khách"
"Enabled","Kích hoạt"
"Event","Sự kiện"
"Event Code","Mã sự kiện"
"Every 10 days","10 ngày"
"Every 14 days","14 ngày"
"Every 3 daáy","3 ngày"
"Every 30 days","30 ngày"
"Every 40 days","40 ngày"
"Every 7 days","7 ngày"
"Exact Match. Address and Postal Code. International","Tổng hợp chính xác địa chỉ và mã bưu chính toàn thế giới"
"Exact Match. Address and Postal Code. UK-specific","Tổng hợp chính xác địa chỉ và mã bưu chính các nước cụ thể - Anh"
"Exact Match. Address and nine-digit ZIP code","Tổng hợp chính xác địa chỉ và 9 chữ số mã bưu chính"
"Express Checkout","Thanh toán nhanh"
"Express Checkout (Payflow Edition) Settings","Mô tả cài đặc toán nhanh (ấn bản Payflow)"
"Express Checkout APIs","Mô tả thanh toán API"
"Express Checkout Settings","Cài đặt thanh toán nhanh"
"Express Checkout and Order have been canceled.","Quá trình thanh toán và đặt hàng đã bị hủy bỏ."
"Express Checkout has been canceled.","Thanh toán đã bị hủy bỏ."
"Failed to fetch reports from '%s@%s'.","Không thể xem báo cáo từ '%s@%s'."
"Fee Amount","Số tiền lệ phí"
"Fee Debit or Credit","Ghi nợ hoặc tín dụng"
"Fee Reversal","Lệ phí hoàn nhập"
"Fee: Foreign ACH Withdrawal","Phí: Nước ngoài rút tiền ACH"
"Fee: Mass Pay Request","Phí : Yêu cầu trả triền hàng loạt"
"Fee: Web Site Payments Pro Account Monthly","Phí: Trang web thanh toán tài khoản hàng tháng"
"Fee: WorldLink Check Withdrawal","Phí: Kiểm tra rút tiền trên toàn quốc"
"Fetch","Tải"
"Fetch Updates","Tải Cập nhật"
"Fetched %s report rows from '%s@%s'.","Nạp %s các dòng báo cáo từ '%s@%s'."
"Frontend Experience Settings","Kinh nghiệm cài đặt giao diện người dùng"
"Funding","Kinh phí"
"General (Authorization)","Chung (Xác thực)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","Chung (Chuyển tiền từ tài khoản PayPal tới tài khoản khác)"
"General (Purchase with a credit card)","Chung (Giỏ hàng với thẻ tín dụng)"
"General Adjustment without businessrelated event","Điều chỉnh chung mà không có sự kiện kinh doanh liên quaneneral Adjustment without businessrelated event"
"General Currency Conversion","Tổng Chuyển đổi ngoại tệ"
"General Funding of PayPal Account ","Kinh phí chung của tài khoản PayPal"
"General Redemption","Mua chung"
"General Withdrawal from PayPal Account","Tổng tiền rút từ tài khoản PayPal"
"General. Product no longer supported","Nói chung. Sản phẩm không còn được hỗ trợ"
"General: Use of PayPal account for purchasing as well as receiving payments","Chung: Sử dụng tài khoản PayPal để mua cũng như nhận được các khoản thanh toán"
"General: Withdrawal from PayPal Account","Chung: rút tiền từ tài khoản PayPal "
"General: Withdrawal to Non-Bank Entity","Chung: Rút tiền từ thực thể phi ngân hàng"
"General: adjustment of a type not belonging to the other T12xx categories","Chung: điều chỉnh của một loại không thuộc danh mục T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Chung: Chung: tiền thưởng của một loại không thuộc danh mục T08xx"
"General: event not yet categorized","Chung: sự kiện chưa phân loại"
"General: non-payment fee of a type not belonging to the other T01xx categories","Chung: Phí không thanh toán của một loại không thuộc danh mục T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Chung: nhận được thanh toán của một loại không thuộc danh mục T00xx khác"
"General: reversal of a type not belonging to the other T11xx categories","Tổng thể: một loại không thuộc danh mục T11xx khác"
"General: temporary hold of a type not belonging to the other T15xx categories","Chung: giữ lại tạm thời của một loại không thuộc danh mục T15xx"
"Get Credentials from PayPal","Nhận Chứng nhận từ PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Chứng nhận quà tặng thanh toán: mua Giấy chứng nhận quà tặng"
"Gift Certificate Redemption","Chứng nhận mua lại quà tặng"
"Gross Amount","Tổng số tiền"
"Header Background Color","Màu nền tiêu đề"
"Header Border Color","Màu đường viền tiêu đề"
"Header Image URL","URL tiêu đề hình ảnh"
"Help","Trợ giúp"
"Hidden Virtual PayPal Debit Card Transaction","Ẩn giao dịch "
"Hold for Dispute Investigation","Khảo sát tranh chấp"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Nếu rỗng, một giá trị mặc định sẽ được sử dụng. Tùy chỉnh URL có thể được cung cấp theo thỏa thuận Thương mại."
"If not specified, Default Country from General Config will be used","Nếu không xác định, quốc gia mặc định từ cấu hình chung sẽ được sử dụng"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Nếu tùy chọn này được kích hoạt, khách hàng có thể thay đổi địa chỉ vận chuyển và phương thức vận chuyển trên trang web PayPal. Trong chế độ sống hoạt động thông qua giao thức HTTPS."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Không thể ban hành một giao dịch hoàn lại tiền bởi vì hình ảnh giao dịch không tồn tại."
"Incentive","Hoạt động khen thưởng "
"Initiation Date","Ngày thưởng"
"Integral Evolution","Sự phát triển không thể tách rời "
"Integral Evolution Settings","Thiết lập phân tích sự phát triển"
"Invoice ID","Mã đơn hàng"
"Issuer Liability","Trách nhiệm pháp lý tổ chức phát hành"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Chúng tôi đề nghị thiết lập giá trị này để "" Ghi nợ hoặc thẻ tín dụng"" mỗi lần xem cửa hàng."
"It is recommended to set this value to ""PayPal"" per store views.","Chúng tôi đề nghị để thiết lập giá trị này để "" PayPal "" cho mỗi cửa hàng."
"Items in Your Shopping Cart","Sản phẩm trong giỏ hàng của bạn"
"Last Correlation ID","ID liên hệ cuối cùng"
"Last Transaction ID","ID giao dịch cuối cùng"
"Learn More","Xem thêm chi tiết"
"Login","Đăng nhập"
"Looking for PayPal? We have our own tab to the left under Sales.","Tìm kiếm cho PayPal? Chúng tôi có một tab riêng của chúng tôi ở bên trái dưới Sales."
"Mass Pay Payment","Thanh toán hàng loạt"
"Matched (CVV2)","Phù hợp với (CVV2)"
"Matched (CVV2CSC)","Phù hợp với (CVV2CSC)"
"Matched Address only (no ZIP)","Chỉ phù hợp với địa chỉ (Không có bưu điện)"
"Matched Address only (no ZIP). International","Chỉ phù hợp với địa chỉ (Không có bưu điện). quốc tế"
"Matched Postal Code only (no Address)","Phù hợp với mã bưu chính (không địa chỉ)"
"Matched five-digit ZIP only (no Address)","Mã bưu điện phù hợp có 5 chữ số (không có địa chỉ)"
"Matched whole nine-didgit ZIP (no Address)","Mã bưu chính phù hợp có   9 chữ số (không  có địa chỉ)"
"Merchant Account","Tài khoản thương mại"
"Merchant Country","Quốc gia thương mại"
"Merchant Liability","Trách nhiệm thương mại"
"Merchant Protection Eligibility","Trách nhiệm bảo vệ thương mại"
"Merchant Referral Bonus","Giấy khen thưởng thương mại"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Merchant nắm giữ một tài khoản không phải của Mỹ và không có một cơ chế thu hồi."
"Merchant reference ID format is not supported.","Định dạng ID tham khảo Merchant không được hỗ trợ...."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Thương nhân cần phải áp dụng PayPal cho phép tính năng thỏa thuận thanh toán. Đừng bật tùy chọn này cho đến khi PayPal xác nhận rằng các thỏa thuận thanh toán được kích hoạt cho tài khoản thương mại của bạn."
"Mobile Payment (made via a mobile phone)","Thanh toán di động (thực hiện thông qua điện thoại di động)"
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Địa chỉ không được chọn, hoặc thâu tóm không đáp ứng. Dịch vụ không có sẵn"
"N/A. Global Unavailable","N/A. Không khả dụng trên toàn cầu"
"N/A. International Unavailable","N/A. Không khả dụng trên quốc tế"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant đã chỉ ra rằng CVV2 là không hiện diện trên thẻ"
"N/A. No response","N/A. Không hiện diện"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N / A. Không được phép cho MOTO (Internet / Phone) giao dịch"
"N/A. Not processed","N/A. không được xử lý"
"N/A. Retry","N/A. Thử lại"
"N/A. Service not Supported","N/A. Dịch vụ không được hỗ trợ"
"N/A. Service not available","N/A. Dịch vụ không có sẵn"
"N/A. Service not supported","N/A. Dịch vụ không được hỗ trợ"
"N/A. The merchant did not provide AVS information","N/A. Các thương nhân không cung cấp thông tin AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Không thực hiện được việc xử lý mã CVV2 của người mua"
"N/A. Unavailable","N/A. Không khả dụng"
"Negative Balance","Tiêu cực"
"Never","Không bao giờ"
"No","Không"
"No Details matched","Không có chi tiết phù hợp"
"No Details matched. International","Chi tiết không phù hợp với quốc tế"
"No Liability Shift","Phím Shift"
"No Logo","Không có Logo"
"No match","không phù hợp"
"None of the address information matched","Thông tin địa chirkhoong phù hợp"
"Note: %s","Lưu ý: %s"
"Nothing to fetch because of an empty configuration.","Cấu hình rỗng không thể nạp."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Chú ý rằng PayPal có thể xử lý lên đến 10 tùy chọn vận chuyển. Đó là lý do tại sao Magento sẽ chỉ chuyển giao đầu tiên 10 tùy chọn vận chuyển rẻ nhất nếu có nhiều hơn."
"Notified customer about creditmemo #%s.","Khách hàng thông báo bản ghi nhớ tín dụng #%s."
"Notified customer about invoice #%s.","Khách hàng thông báo về hóa đơn #%s."
"Now accepting PayPal (150 X 40)","Bây giờ chấp nhận PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Bây giờ chấp nhận PayPal (150 X 60)"
"Number of Child Authorizations","Một con số nhỏ của Xác thực con"
"Open Authorization","Cho phép ủy quyền"
"Order","Sắp xếp"
"Order ID","Mã đơn hàng"
"Order Valid Period (days)","Thời gian đặt hàng hợp lệ (ngày)"
"Ordered amount of %s.","Số lương đặt hàng của %s."
"Ordering amount of %s is pending approval on gateway.","Số lượng đơn hàng của %s đang chờ phê duyệt."
"Page Background Color","Màu nền trang"
"Page Style","Kiểu trang"
"Part of the address information matched","Một phần của các thông tin địa chỉ phù hợp"
"Partner","Đối tác"
"Pasarela integral","Không thể thiếu Paserela"
"Pasarela integral Settings","Thiết lập Paserela"
"Password","Mật khẩu"
"Pay Now","Thanh toán ngay bây giờ"
"PayPal","Tài khoản PayPal"
"PayPal Balance Manager function of PayPal account","PayPal cân bằng chức năng quản lý của tài khoản PayPal"
"PayPal Buyer Warranty Bonus","Người mua PayPal được đổi quà tặng"
"PayPal Debit Card Cash Advance","Thẻ ghi nợ tiền ứng trước của PayPal"
"PayPal Debit Card Withdrawal from ATM","PayPal rút thẻ ghi nợ từ ATM"
"PayPal Express Checkout Shortcut Wrapper","Thanh toán nhanh qua PayPal"
"PayPal Express Checkout Token does not exist.","Thông báo Không thể thanh toán nhanh "
"PayPal Express Order Review Form"," hình thức xem xét thứ tự nhanh của PayPal"
"PayPal Fee Information","Thông tin phí PayPal"
"PayPal Merchant Pages Style","Kiểu trang PayPal"
"PayPal Payments Advanced","Thanh toán nâng cao qua PayPal"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","Thiết lập PayPal Pro"
"PayPal Product Logo","Logo sản phẩm của PayPal"
"PayPal Protection ","Bảo vệ PayPal"
"PayPal Reference ID","Mã tham chiếu PayPal"
"PayPal Reference ID Type","Loại mã tham chiếu PayPal"
"PayPal Settlement Reports","Báo cáo giải quyết PayPal"
"PayPal certificate does not exist.","Giấy chứng nhận PayPal không tồn tại."
"PayPal certificate file is empty.","Tập tin chứng nhận PayPal là trống rỗng."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal không cung cấp tiến trình đặt hàng với số tiền bằng không. Để hoàn thành đặt hàng, tiến hành các quy trình kiểm tra tiêu chuẩn."
"PayPal gateway has rejected request. %s","Cổng thanh toán PayPal đã từ chối yêu cầu. %s"
"PayPal processes all of your orders, and you get paid.","PayPal xử lý tất cả các đơn đặt hàng của bạn, và bạn được hoàn trả lại tiền."
"PayPal response hasn't required fields.","PayPal phản hồi là trường không bắt buộc"
"PayPal retains reports for 45 days.","PayPal giữ nguyên báo cáo trong 45 ngày."
"PayPal/Centinel Electronic Commerce Indicator","Chỉ số thương mại điện tử PayPal/Centinel"
"PayPal/Centinel Visa Payer Authentication Service Result","Kết quả xác thực visa của người thanh toán PayPal/ Centinel"
"Payer Address ID","Mã số địa chỉ của người thanh toán"
"Payer Address Status","Tình trạng địa chỉ của người thanh toán"
"Payer Email","Email người trả tiền"
"Payer Email: %s","Email người trả tiền: %s"
"Payer ID","ID người thanh toán"
"Payer Status","Tình trạng của người thanh toán"
"Payer is not identified.","Không xác định được người thanh toán."
"Payflow Link (for USA and Canada)","Liên kết Payflow (áp dụng cho Anh và Canada)"
"Payflow Link Settings","Thiết lập liên kết Payflow "
"Payflow Pro Gateway","Cổng Payflow Pro "
"Payflow Pro Settings","Thiết lập Payflow Pro"
"Payment Action","Hành động thanh toán"
"Payment Applicable From","Áp dụng thanh toán từ"
"Payment Method","Phương thức thanh toán"
"Payment Refund initiated by merchant","Hoàn trả tiền co người mua"
"Payment has been declined. Please try again.","Thanh toán đã bị từ chối. Vui lòng thử lại."
"Payment transactions disallow storing objects.","Giao dịch thanh toán không cho phép đối tượng lưu trữ."
"Payments by PayPal (150 X 40)","Thanh toán bằng PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Thanh toán bằng PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Thanh toán bằng thẻ + trợ giúp người bán - <strong style=""color:red"">Liên hệ với PayPal trước khi kích hoạt</strong>"
"Paypal Billing Agreement Settings","Thiết lập thỏa thuận thanh toán bằng PayPal"
"Pending PayPal","Trong khi chờ PayPal"
"Place Order","Đặt hàng"
"Please agree to all the terms and conditions before placing the order.","Hãy đồng ý với tất cả các điều khoản và điều kiện trước khi đặt đơn hàng."
"Please do not refresh the page until you complete payment.","Xin đừng làm mới trang cho đến khi bạn hoàn thành thanh toán."
"Please select a shipping method...","Hãy lựa chọn phương thức vận chuyển..."
"Points Incentive Redemption","Khuyến khích mua lại"
"Postage Payment to either USPS or UPS","Thanh toán cước phí cho USPS hoặc UPS"
"Preapproved Payment (BillUser API), either sent or received","Thanh toán chấp thuận trước (Người thanh toán API), hoặc là gửi hoặc nhận trước "
"Preapproved Payment ID","ID thanh toán chấp thuận trước"
"Price","Giá"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Tiến trình thanh toán trên thẻ tín dụng trên trang web của bạn với PayPal tất cả chỉ với một phương thức sử lí online."
"Product Name","Tên sản phẩm"
"Proxy Host","Máy chủ Proxy"
"Proxy Port","Cổng Proxy"
"Qty","Số lượng"
"Reauthorization","Tái xác nhận"
"Reference Information","Thông tin tham chiếu"
"Refund issued by merchant.","Hoàn trả cho người mua."
"Reimbursement for a chargeback.","Bồi thường cho ."
"Reimbursement of Chargeback","Bồi thường"
"Report Date","Ngày báo cáo"
"Reports","Báo cáo"
"Require CVV Entry","Yêu cầu thực thể CVV"
"Reversal","Ngược lại"
"Reversal of General Account Hold","Không phải tài khoản chung"
"Reversal of Points Usage","Cách sử dụng"
"Reversal of an adjustment.","Sự điều chỉnh."
"Reversal of hold for Dispute Investigation","Sự đảo ngược điều tra tranh chấp"
"Review Order","Xem lại đơn hàng"
"Reward Voucher Redemption","Phiếu quà tặng"
"SFTP Credentials","Giây chứng nhận SFTP"
"Sale","Buôn bán"
"Sales","Buôn bán"
"Sandbox Credentials","Hộp thư chứng nhận"
"Sandbox Mode","Chế độ Hộp cát"
"Schedule","Lịch"
"Schedule description is too long.","Mô tả lịch trình quá dài"
"Scheduled Fetching","Đang tải  lịch trình"
"Select a PayPal Solution","Chọn giải pháp PayPal"
"Server Error. Please try again.","Lỗi Máy chủ. Vui lòng thử lại."
"Settlement Consolidation","Giải quyết hợp nhất "
"Settlement Report Settings","Thiết lập báo cáo quyết toán"
"Settlement of a chargeback.","Giải quyết trả hàng."
"Severe 3D Secure Card Validation","Thẻ 3D xác nhận an toàn"
"Severe Validation Removes Chargeback Liability on Merchant","Loại bỏ trách nhiệm pháp lý xác nhận hoàn trả cho người mua"
"Severe validation removes chargeback liability on merchant.","Xác nhận nghiêm trọng hủy bỏ bồi thường chịu trách nhiệm với người mua."
"Shipping","Giao hàng"
"Shipping Address","Địa chỉ giao hàng"
"Shipping Information","Thông tin giao hàng"
"Shipping Method","Phương thức giao hàng"
"Shop now using (150 X 40)","Cửa hàng hiện đang sử dụng (150 X 40)"
"Shop now using (150 X 60)","Cửa hàng hiện đang sử dụng (150 X 60)"
"Shortcut","Phím tắt"
"Shortcut Buttons Flavor","Nút tắt"
"Shortcut on Product View","Phím tắt xem sản phẩm"
"Shortcut on Shopping Cart","Phím tắt trên Giỏ hàng"
"Sign a billing agreement to streamline further purchases with PayPal.","Đăng ký thỏa thuận thanh toán để mua sắm thêm với PayPal."
"Solo","Đơn lẻ"
"Sorry, no quotes are available for this order at this time.","Xin lỗi, không thể báo giá để đặt hàng này tại thời điểm này."
"Sort Order","Thứ tự đơn hàng"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Chỉ định Uỷ quyền trên tài khoản PayPal của người mua. Nó phải phản ánh các thiết lập trong PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Chỉ định những gì hợp lệ trong đơn hàng trên tài khoản PayPal của người mua. Nó phải được thiết lập trong PayPal."
"Static","Tĩnh"
"Submitting order information...","Gửi thông tin đặt hàng..."
"Subscriber name is too long.","Tên người đăng ký quá dài."
"Subscription ID","Mã đăng kí"
"Subscription Payment, either payment sent or payment received","Thanh toán Đăng ký, hoặc trả tiền gửi thanh toán hoặc nhận được"
"Subtotal","Tổng con"
"Summary Text for Aggregated Cart","Văn bản tóm tắt cho giỏ hàng"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Hỗ trợ thẻ American Express yêu cầu thỏa thuận bổ sung. Tìm hiểu thêm tại <a href=""http://www.paypal.com/amexupdate""> http://www.paypal.com/amexupdate </a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","Phương thức kiểm tra"
"The background color for the checkout page around the header and payment form.","Màu nền cho các trang thanh toán dựa trên mẫu tiêu đề và mẫu thanh toán."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Màu nền cho các tiêu đề của các trang thanh toán. Trường hợp phân biệt dạng chữ sáu ký tự HTML mã màu thập lục phân trong ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Số mặc định của giấy phép con trong tài khoản PayPal của bạn là 1. Để làm nhiều giấy phép xin vui lòng liên hệ với PayPal để yêu cầu tăng hạn."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Những hình ảnh ở phía trên bên trái của trang Thanh toán tiền. Kích thước tối đa là 750x90 pixel. <strong style = "" color: red ""> https </ strong> được khuyến khích."
"The maximum number of child authorizations is reached.","Số lượng tối đa của giấy phép con đạt được."
"The merchant account is not yet verified.","Các tài khoản người mua chưa được xác minh."
"The payment curency does not match any of the merchant\'s balances currency.","Tiền tệ thanh toán không phù hợp với bất kỳ số dư tiền tệ của người mua."
"The payment eCheck is not yet cleared.","Các eCheck thanh toán nhưng chưa được thanh."
"The payment is authorized but not settled.","Việc thanh toán được ủy quyền nhưng không được giải quyết."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Việc thanh toán được cấp phát bởi vì nó đã được thực hiện đến một địa chỉ email mà chưa được đăng ký hoặc xác nhận."
"The payment is pending while it is being reviewed by PayPal for risk.","Việc thanh toán được cấp phát trong khi nó đang được xem xét lại các rủi ro của PayPal."
