"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Sản phẩm"
"There are %s Item(s)","Có %s Sản phẩm"
"Display in Suggested Terms","Hiển thị các điều khoản"
"Double click on a group to rename it","Nhấn đúp để đổi tên nhóm"
"Double click on above image to view full picture","Nhấn đúp để xem ảnh đầy đủ"
"Downloadable Information","Thông tin tải về"
"Duplicate","Sao chép"
"Duplicate website group price customer group.","Sao chép giá cho nhóm khách hàng."
"Duplicate website tier price customer group and quantity.","Sao chép giá và số lượng cho từng nhóm khách hàng theo cấp bậc."
"Duplicate website, country and state tax found.","Sao chép website, quốc gia và thuế nhà nước mà tìm thấy."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ví dụ {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Phân tích tác động hiệu quả của danh mục."
"Edit","Sửa"
"Edit Attribute Set '%s'","Sửa nhóm thuộc tính '%s'"
"Edit Product Attribute","Sửa thuộc tính"
"Edit Product Attribute ""%s""","Sửa thuộc tính ""%s"""
"Edit Search","Hiệu chỉnh tìm kiếm"
"Edit Search '%s'","Hiệu chỉnh tìm kiếm '%s'"
"Edit Set Name","Hiệu chỉnh thiết lập tên"
"Email","Email"
"Email to a Friend","Gửi bạn bè"
"Empty","Rỗng"
"Enable MAP","Kích hoạt MAP"
"Enable Qty Increments","Kích hoạt số lượng tăng"
"Enable WYSIWYG","Kích hoạt WYSIWYG"
"Enabled","Hiệu lực"
"Error during retrieval of option value: %s","Lỗi trong quá trình phục hồi giá trị tùy chọn: %s"
"Exclude","Loại trừ"
"Expand All","Mở tất cả"
"Failed","Không thành công"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Sao chép file %s không thành công. Vui lòng xóa tập tin với hình ảnh không tồn tại và thử lại."
"Failed to move file: %s","Di chuyển file : %s không thành công"
"Feature Products","Tính năng của sản phẩm"
"Field is not complete","Trường không đầy đủ"
"File options format is not valid.","Tùy chọn định dạng tập tin không hợp lệ."
"File upload failed","Tập tin tải lên không thành công"
"Filter model name must be declared.","Tên bộ lọc phải được khai báo."
"Filter must be an object. Please set correct filter.","Bộ lọc phải là một đối tượng. Vui lòng thiết lập bộ lọc chính xác."
"Filterable (no results)","Lọc (không có kết quả)"
"Filterable (with results)","Lọc (có kết quả)"
"First Name","Tên"
"Fixed","Cố định"
"For internal use.","Sử dụng nội bộ."
"For the last time placed.","Được đặt lần cuối cùng."
"Frontend","Lối vào"
"Frontend Model","Mô hình lối vào"
"Frontend Properties","Thuộc tính lối vào"
"Gallery","Bộ sưu tập"
"General Information","Thông tin chung"
"Get full information about attribute with list of options","Thông tin chung về các thuộc tính của các danh sách tùy chọn"
"Get full information about custom option in product","Thông tin chung về các tùy chọn của sản phẩm"
"Get list of available custom option types","Danh sách các tùy chỉnh có sẵn"
"Get list of non-default attributes by product type and attributes set","Danh sách các thuộc tính không mặc định theo loại sản phẩm và thiết lập thuộc tính"
"Get list of possible attribute types","Danh sách các kiểu thuộc tính"
"Get special price","Giá đặc biệt"
"Global","Toàn cầu"
"Globally Editable","Có thể chỉnh sửa trên toàn cầu"
"Go to Home Page","Trở về trang chủ"
"Grid","Mạng lưới"
"Group add","Thêm nhóm"
"Group remove","Xóa nhóm"
"Grouped Product","Nhóm sản phẩm"
"Groups","Nhóm"
"Home","Trang chủ"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Nếu trống, tên danh mục sẽ được sử dụng"
"If empty, the Product Name will be used","Nếu trống, tên sản phẩm sẽ được sử dụng"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Nếu bạn không chỉ rõ một giá trị tùy chọn cho một cửa hàng riêng thì giá trị mặc định (Admin) sẽ được sử dụng."
"Image","Hình ảnh"
"Image content is not valid base64 data.","Nội dung hình ảnh không phải là cơ sở dữ liệu hợp lệ."
"Image does not exist.","Hình ảnh không tồn tại."
"Image file was not found.","Không tìm thấy tệp hình ảnh."
"Image type and information need to be specified for each store view.","Loại hình ảnh và thông tin cần phải được xác định cho từng cửa hàng."
"In Cart","Giỏ hàng"
"In Stock","Còn hàng"
"In stock","Còn hàng"
"Incl. Tax","Đã bao gồm thuế"
"Index product and categories URL rewrites","Chỉ số sản phẩm và danh mục URL"
"Index product attributes for layered navigation building","Chỉ số thuộc tính sản phẩm để xây dựng lớp định hướng"
"Index product prices","Chỉ số giá sản phẩm"
"Indexed category/products association","Chỉ số liên kết danh mục/sản phẩm."
"Info","Thông tin"
"Info Column Options Wrapper","Cột thông tin tùy chọn bao bìa"
"Input Type","Loại đầu vào"
"Integer","Số nguyên"
"Invalid Tier Prices","Mức giá không hợp lệ"
"Invalid attribute %s","Thuộc tính %s không hợp lệ"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Tùy chọn thuộc tính không hợp lệ quy định cho thuộc tính %s (%s), bỏ qua bản ghi."
"Invalid attribute set specified, skipping the record.","Thiết lập các thuộc tính không hợp lệ theo quy định, bỏ qua bản ghi."
"Invalid block: %s.","Khối không hợp lệ: %s."
"Invalid category IDs.","Loại ID không hợp lệ."
"Invalid category.","Loại không hợp lệ."
"Invalid image file type.","Dạng tệp hình ảnh không hợp lệ."
"Invalid image type.","Dạng hình ảnh không hợp lệ."
"Invalid option ID specified for %s (%s), skipping the record.","Tùy chọn ID không hợp lệ theo quy định %s (%s), bỏ qua bản ghi."
"Invalid product type specified, skipping the record.","Dạng sản phẩm không hợp lệ theo quy định, bỏ qua bản ghi."
"Invalid store specified","Cửa hàng không hợp lệ theo quy định."
"Invalid store specified, skipping the record.","Cửa hàng không hợp lệ theo quy định, bỏ qua bản ghi."
"Invalid tier prices. The product is not associated to the requested website.","Mức giá không hợp lệ. Sản phẩm không liên quan đến các yêu cầu của website."
"Inventory","Kho hàng"
"Is Default","Mặc định là"
"Is Required","Bắt buộc"
"Items %s to %s of %s total","Từ %s Đến %s của %s sản phẩm"
"From %s to %s of %s total Items", "Từ %s đến %s trong tổng số %s sản phẩm"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Các sản phẩm mà bạn không muốn hiển thị trong danh mục hoặc trong kết quả tìm kiếm bạn nên chọn trạng thái "Vô hiệu hóa" trong cửa hàng mà bạn muốn."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Các sản phẩm mà bạn không muốn hiển thị trong danh mục hoặc trong kết quả tìm kiếm bạn nên chọn trạng thái "Vô hiệu hóa" trong cửa hàng mà bạn muốn."
"Keep your eyes open for our special Back to School items and save A LOT!","Hãy chú ý vào sản phẩm đặc biệt của chúng tôi "VỀ TRƯỜNG" và mang về THẬT NHIỀU nhé!"
"Label","Nhãn hiệu"
"Last Name","Họ"
"Last Notification","Thông báo mới nhất"
"Layered Navigation","Chuyển hướng lớp"
"Learn More","Xem thêm"
"Line %d, Email: %s","Đường dây %d, Email: %s"
"Line %d, SKU: %s","Đường dây %d Mã sản phẩm: %s"
"Link (Related, Up sell, Cross sell)","Đường dây (Có liên quan, )"
"Link product does not exist.","Không tồn tại liên kết sản phẩm."
"Link to a Specified Category","Liên kết đến một danh mục chỉ định"
"Link to a Specified Product","Liên kết đến một sản phẩm chỉ định"
"List","Danh sách"
"List Mode","Phương thức danh sách"
"List of Products that are set as New","Danh sách các sản phẩm được thiết lập mới"
"List of types","Danh sách các loại"
"Manage Attribute Sets","Quản lý nhóm thuộc tính                                                                                                                                                                                                                                                                                           "
"Manage Attributes","Quản lý thuộc tính"
"Manage Catalog Categories","Quản lý danh mục các loại"
"Manage Categories","Quản lý danh mục"
"Manage Label / Options","Quản lý nhãn hiệu / Tùy chọn"
"Manage Options (values of your attribute)","Quản lý tùy chọn (giá trị thuộc tính của bạn)"
"Manage Product Attributes","Quản lý thuộc tính sản phẩm "
"Manage Product Sets","Quản lý các thiết lập sản phẩm"
"Manage Products","Quản lý sản phẩm"
"Manage Stock","Quản lý kho hàng"
"Manage Titles (Size, Color, etc.)","Quản lý tiêu đề (Kích cỡ, Màu sắc, v.v.)"
"Max Characters","Các ký tự nhiều nhất"
"Maximal Depth","Chiều sâu tối đa"
"Maximum Image Size","Kích thước ảnh tối đa"
"Maximum Number of Price Intervals","Mức giá cao nhất"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
"Maximum allowed image size for '%s' is %sx%s px.","Kích thước ảnh tối đa cho '%s' là %sx%s px."
"Maximum image height","Chiều cao ảnh tối đa"
"Maximum image width","Chiều rộng ảnh tối đa"
"Maximum number of characters:","Số ký tự tối đa:"
"Maximum number of price intervals is 100","Mức giá tối đa là 100"
"Media Image","Truyền hình"
"Minimum Advertised Price","Giá quảng cáo tối thiểu"
"Minimum Lines per Page","Các dòng tối thiểu cho mỗi trang"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"Minimum Qty for Item\'s Status to be Out of Stock","Số lượng tối thiểu của tình trạng sản phẩm là Hết Hàng"
"Missing SKU, skipping the record.","Thiếu mã hàng, bỏ qua bản ghi."
"More Views","Các hình khác"
"Move","Di chuyển"
"Move category in tree","Di chuyển danh mục trong cây"
"Must be in the allowed values list.","Phải nằm trong danh sách các giá trị cho phép."
"N/A","N/A"
"Name","Tên"
"Name in %s","Tên trong %s"
"New Product","Sản phẩm mới"
"New Product Attribute","Thuộc tính sản phẩm mới"
"New Products","Sản phẩm mới"
"New Products Grid Template","Lưới sản phẩm mẫu mới"
"New Products List Template","New Products List Template"
"New Root Category","Danh mục gốc mới"
"New Search","Tìm kiếm mới"
"New Set Name","Thiết lập tên mới"
"New Subcategory","Danh mục con mới"
"Next","Tiếp theo"
"No","Không"
"No image","Không có hình ảnh"
"No layout updates","Không có cập nhật bố trí"
"No options of this product are available.","Tùy chọn của sản phẩm này không có sẵn."
"No product collections found.","Không tìm thấy bộ sưu tập của sản phẩm."
"None","Không có"
"Not Visible Individually","Không hiển thị cá nhân"
"Notify Low Stock RSS","Thông báo cho cổ phần thấp RSS"
"Notify for Quantity Below","Thông báo cho số lượng dưới đây"
"Number of Products to Display","Hiển thị số lượng sản phẩm"
"Number of Uses","Số người sử dụng"
"Number of results","Số kết quả"
"Number of results (For the last time placed)","Số kết quả (Đối với lần cuối cùng được đặt"
"OK","OK"
"OR","Hoặc"
"Old Price:","Giá cũ:"
"On Gesture","Bằng cử chỉ"
"Option validation failed to add product to cart.","Thêm sản phẩm vào giỏ hàng không thành công."
"Option values","Giá trị tùy chọn"
"Option","Tùy chọn:"
"Options","Các tùy chọn"
"Options Control","Tùy chọn điều khiển"
"Options is required","Tùy chọn được yêu cầu"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Dịch vụ khách hàng của chúng tôi luôn có sẵn 24/7. Gọi chúng tôi với (555) 555-0123."
"Out of Stock","Hết hàng"
"Out of stock","Hết hàng"
"PM","PM"
"Page Title Separator","Dấu phân cách trang tiêu đề"
"Parent Category","Cấp danh mục"
"Pending","Chờ xử lý"
"Pending Reviews RSS","Ý kiến trong khi chờ RSS"
"Percentage","Tỷ lệ phần trăm"
"Please add rows to option.","Vui lòng thêm hàng để tùy chọn."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Hãy cẩn thận ."
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please enter a new group name","Vui lòng nhập tên mới cho nhóm"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Vui lòng làm mới ""Danh mục ghi đè URL"" và ""Thuộc tính sản phẩm"" trong hệ thống -> <a href=""%s""> Quản lý chỉ số </a>"
"Please select a static block ...","Hãy lựa chọn một khối tĩnh ..."
"Please select items.","Vui lòng chọn các mục."
"Please select one or more attributes.","Vui lòng chọn một hoặc nhiều thuộc tính."
"Please select product(s).","Chọn sản phẩm."
"Please select products for attributes update","Vui lòng chọn sản phẩm để cập nhật thuộc tính"
"Please specify date required option(s).","Vui lòng ghi rõ ngày yêu cầu tùy chọn."
"Please specify the product required option(s)","Hãy xác định các sản phẩm yêu cầu tùy chọn"
"Please specify the product required option(s).","Hãy xác định các sản phẩm yêu cầu tùy chọn."
"Please specify the product\'s option(s).","Hãy xác định các tùy chọn của sản phẩm."
"Please specify the product\'s required option(s).","Hãy xác định các yêu cầu tùy chọn của sản phẩm."
"Please specify the quantity of product(s).","Hãy xác định số lượng sản phẩm."
"Please specify time required option(s).","Hãy xác định thời gian tùy chỉnh cần thiết."
"Please wait...","Đang tải thông tin..."
"Position","Thứ tự"
"Position in Layered Navigation","Vị trí của danh mục lớp"
"Position of attribute in layered navigation block","Vị trí của thuộc tính trong khối danh mục lớp"
"Prev","Trở về trước"
"Price","Giá"
"Price Navigation Step Calculation","Tính giá của danh mục chính"
"Price Type","Loại giá"
"Price is not available","Giá không có sẵn"
"Price values for options should be specified in system base currency.","Các tùy chọn giá của sản phẩm cần được quy định trong hệ thống cơ sở tiền tệ."
"Price:","Giá:"
"Price: %s","Giá: %s"
"Print This Page","In trang này"
"Product","Sản phẩm"
"Product API","Sản phẩm API"
"Product Alerts","Thông báo cho sản phẩm"
