"%s,""%s"""
"Before modifying the store view code please make sure that it is not used in index.php.,""Trước khi sửa đổi mã cửa hàng hãy chắc rằng nó không được sử dụng trong index.php."""
"Before modifying the website code please make sure that it is not used in index.php.,""Trước khi sửa đổi mã website hãy chắc rằng nó không được sử dụng trong index.php."""
"Block with name ""%s"" already exists,""Tên khối """"%s"""" đã tồn tại"""
"Browser Capabilities Detection,""Phát hiện khả năng trình duyệt"""
"CSS Settings,""Thiết lập CSS"""
"Cache Storage Management,""Quản lý lưu trữ bộ nhớ đệm"""
"Cache storage may contain additional data. Are you sure that you want flush it?,""Lưu trữ bộ nhớ đệm có thể chưa dữ liệu bổ sung. Bạn có chắc muốn quét sạch nó?"""
"Can not create invoice. Order was not found.,""Không thể lập hóa đơn. Không tìm thấy đơn đặt hàng."""
"Can't retrieve request object,""Không thể lấy đối tượng theo yêu cầu"""
"Can\'t retrieve entity config: %s,""Không thể xuất cấu hình thực thể: %s"""
"Cancel,""Hủy bỏ"""
"Cannot complete this operation from non-admin area.,""Không thể hoàn thành thao tác này ở vùng không phải quản trị viên."""
"Card type does not match credit card number.,""Loại thẻ không khớp với số thẻ tín dụng."""
"Code,""Mã"""
"Controller file was loaded but class does not exist,""Tập tin điều khiển đã tải lên nhưng lớp không tồn tại"""
"Cookie Domain,""Tên miền của Cookie"""
"Cookie Lifetime,""Thời gian sống của Cookie"""
"Cookie Path,""Đường dẫn của Cookie"""
"Copyright,""Bản quyền"""
"Core,""Chính"""
"Countries Options,""Tùy chọn quốc gia"""
"Country,""Quốc gia"""
"Create Store","Tạo cửa hàng"
"Create Store View","Tạo giao diện cửa hàng"
"Create Website","Tạo website"
"Credit card number does not match credit card type.,""Số thẻ tín dụng không khớp với loại thẻ tín dụng."""
"Current Package Name,""Tên hiện tại"""
"Custom Admin Path,""Tùy chỉnh đường dẫn Admin"""
"Custom Admin URL,""Tùy chỉnh URL Admin"""
"Custom Design,""Thiết kế tùy chỉnh"""
"Custom Email 1,""Email tùy chỉnh 1"""
"Custom Email 2,""Email tùy chỉnh 2"""
"Custom Variables,""Tùy chỉnh các biến"""
"Custom1 Contact Email,""Tùy chỉnh 1 Liên hệ Email"""
"Custom1 Contact Name,""Tùy chỉnh 1 Liên hệ Tên"""
"Custom2 Contact Email,""Tùy chỉnh 2 Liên hệ Email"""
"Custom2 Contact Name,""Tùy chỉnh 2 Liên hệ Tên"""
"Customer Support,""Hỗ trợ khách hàng"""
"Dashboard,""Bảng điều khiển"""
"Date From,""Từ ngày"""
"Date To,""Đến ngày"""
"Date/time format ""%s"" is not supported.,""Định dạng ngày/giờ """"%s"""" không được hỗ trợ."""
"Debug,""Sửa lỗi"""
"Default,""Mặc định"""
"Default Country,""Quốc gia mặc định"""
"Default Description,""Mô tả mặc định"""
"Default Keywords,""Từ khóa mặc định"""
"Default No-route URL,""Mặc định không có URL"""
"Default Pages,""Các trang mặc định"""
"Default Robots,""Người máy mặc định"""
"Default Store,""Cửa hàng mặc định"""
"Default Store View,""Giao diện cửa hàng mặc định"""
"Default Title,""Tiêu đề mặc định"""
"Default Web URL,""URL Web mặc định"""
"Delete,""Xóa"""
"Delete Store,""Xóa cửa hàng"""
"Delete Store View,""Xóa giao diện cửa hàng"""
"Delete Website,""Xóa Website"""
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.,""Xóa một %1$s sẽ không xóa các thông tin liên quan đến %1$s (ví dụ loại hàng, sản phẩm, v.v...), nhưng %1$s sẽ không thể được phục hồi. Đề nghị bạn tạo một bản sao trước khi xóa %1$s."""
"Design,""Thiết kế"""
"Design Change,""Thay đổi thiết kế"""
"Developer,""Phát triển"""
"Developer Client Restrictions,""Những hạn chế phát triển khách hàng"""
"Disable Email Communications,""Vô hiệu hóa giao tiếp truyền thông"""
"Disable Modules Output,""Vô hiệu hóa các mô-đun đầu ra"""
"Display Demo Store Notice,""Hiển thị thử thông báo của cửa hàng"""
"Duplicate Of Template Name,""Lặp lại tên bản mẫu"""
"Edit Design Change,""Chỉnh sửa thiết kế"""
"Edit Store,""Chỉnh sửa cửa hàng"""
"Edit Store View,""Chỉnh sửa giao diện cửa hàng"""
"Edit Website,""Chỉnh sửa Website"""
"Empty identifier field name,""Không nhận dạng được tên sản phẩm"""
"Empty main table name,""Không có tên bảng chính"""
"Enable Charts,""Kích hoạt biểu đồ"""
"Enabled,""Kích hoạt"""
"Enabled for Admin,""Kích hoạt cho Admin"""
"Enabled for Frontend,""Kích hoạt giao diện người dùng"""
"Environment Update Time,""Thời gian cập nhật môi trường"""
"Error in file: ""%s"" - %s,""Lỗi tập tin: """"%s"""" - %s"""
"Error: Passwords do not match,""Lỗi: Mật khẩu không đúng"""
"European Union Countries,""Các quốc gia liên minh châu âu"""
"Exceptions Log File Name,""Ngoại trừ đăng nhập tên tập tin"""
"Favicon Icon,""Biểu tượng đại diện"""
"File %s does not exist,""Tập tin %s không tồn tại"""
"File %s is not readable,""Tập tin %s không đọc được"""
"File not found,""Không tìm thấy tập tin"""
"File system,""Hệ thống tập tin"""
"File with an extension ""%value%"" is protected and cannot be uploaded,""Tập tin với phần mở rộng """"%value%"""" được bảo vệ và không thể tải lên"""
"First Day of Week,""Ngày đầu tiên trong tuần"""
"Flush Cache Storage,""Flush Cache Storage"""
"Flush Magento Cache,""Xả bộ nhớ đệm Magento"""
"Footer,""Cuối trang"""
"Forgot Password Email Sender,""Quên mật khẩu Email người gửi"""
"Forgot Password Email Template,""Quên mật khẩu Email mẫu"""
"General,""Tổng quát"""
"General Contact,""Liên hệ"""
"General Contact Email,""Email liên hệ"""
"General Contact Name,""Tên liên hệ"""
"General Settings,""Thiết lập chung"""
"Global,""Toàn cầu"""
"HTML Head,""Đầu HTML"""
"Header,""Đầu trang"""
"Host,""Host"""
"How many links to display at once.,""Làm thế nào hiển thị nhiều liên kết cùng một lúc."""
"ID Path for Specified Store,""ID đường dẫn cho cửa hàng xác định"""
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.,""Nếu vị trí khung hình hiện tại không bao gồm các trang cuối cùng, sẽ làm cho liên kết đến vị trí cộng/trừ giá trị này."""
"Incorrect credit card expiration date.,""Ngày hết hạn của thẻ tín dụng không đúng."""
"Input type ""%value%"" not found in the input types list.,""Kiểu nhập vào """"%value%"""" không tìm thấy trong danh sách các kiểu nhập vào."""
"Invalid base url type,""Kiểu URL cơ sở không hợp lệ"""
"Invalid block name to set child %s: %s,""Tên không hợp lệ để thiết lập %s: %s"""
"Invalid block type: %s,""Kiểu khối không hợp lệ: %s"""
"Invalid block: %s,""Khối không hợp lệ: %s"""
"Invalid connection,""Kết nối không hợp lệ"""
"Invalid layout update handle,""Cập nhật xử lý bố cục không hợp lệ"""
"Invalid messages storage ""%s"" for layout messages initialization,""Lưu trữ thư """"%s"""" không hợp lệ để bố trí cho khởi tạo tin nhắn"""
"Invalid query,""Câu truy vấn không hợp lệ"""
"Invalid transactional email code: ,""Mã email giao dịch không hợp lệ: """
"Invalid website\'s configuration path: %s,""Đường dẫn cấu hình website không hợp lệ: %s"""
"JavaScript Settings,""Thiết lập JavaScript"""
"Layout,""Giao diện"""
"Leave empty for access from any location.,""Bỏ trống cho truy cập từ bất kỳ vị trí nào."""
"List of stores,""Danh sách các cửa hàng"""
"Locale,""Địa phương"""
"Locale Options,""Tùy chọn địa phương"""
"Log Settings,""Thiết lập đăng nhập"""
"Logging from Mage::log(). File is located in {{base_dir}}/var/log,""Đăng nhập từ Mage::log(). Tập tin nằm trong {{base_dir}}/var/log"""
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log,""Đăng nhập từ Mage::logException(). Tập tin nằm trong {{base_dir}}/var/log"""
"Login is Case Sensitive,""Đăng nhập trong tình trạng nhạy cảm"""
"Logo Image Alt,""Ảnh biểu tượng Alt"""
"Logo Image Src,""Ảnh biểu tượng Src"""
"Mail Sending Settings,""Thiết lập gửi mail"""
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/,""Hãy chắc là URL cơ sở kết thúc với '/' (gạch chéo), ví dụ. http://yourdomain/magento/"""
"Manage Stores,""Quản lý cửa hàng"""
"Match expressions in the same order as displayed in the configuration.,""Phù hợp với các biểu thức trong cùng một thứ tự được hiển thị trong cấu hình"""
"Maximum length exceeded.,""Chiều dài vượt quá tối đa"""
"Media Storage,""Lưu trữ phương tiện truyền thông"""
"Merge CSS Files,""Kết hợp các tập tin CSS"""
"Merge JavaScript Files,""Kết hợp các tập tin JavaScript"""
"Miscellaneous HTML,""Hỗn hợp HTML"""
"Miscellaneous Scripts,""Hỗn hợp Scripts"""
"Model class does not exist: %s.,""Lớp mô hình không tồn tại: %s."""
"Model collection resource name is not defined.,""Tên mẫu nguồn thu không được định nghĩa."""
"Module ""%1$s"" cannot depend on ""%2$s"".,""Mẫu """"%1$s"""" không phụ thuộc vào """"%2$s""""."""
"Module ""%1$s"" requires module ""%2$s"".,""Mẫu """"%1$s"""" đòi hỏi phải có mô-đun """"%2$s""""."""
"Name,""Tên"""
"New Design Change,""Đổi thiết kế mới"""
"New Store,""Cửa hàng mới"""
"New Store View","Giao diện mới của cửa hàng"""
"New Website,""Website mới"""
"No,""Không"""
"Offloader header,""Ngừng tải đầu trang"""
"PHP SOAP extension is required.,""Mở rộng SOAP PHP là cần thiết."""
"Package,""Đóng gói"""
"Pagination,""Đánh số trang"""
"Pagination Frame,""Khung đánh số trang"""
"Pagination Frame Skip,""Bỏ qua khung đánh số trang"""
"Parent directory does not exist: %s,""Thư mục cha không tồn tại: %s"""
"Path ""%value%"" is not available and cannot be used.,""Đường dẫn """"%value%"""" không có sẵn và không thể sử dụng."""
"Path ""%value%"" is protected and cannot be used.","Đường dẫn""%value%"" được bảo vệ và không được sử dụng."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).","Đường dẫn ""%value%"" có thể không bao gồm thư mục cha (""../"", ""..\\)."
"Please choose to register or to checkout as a guest,""Hãy chọn đăng ký hoặc thanh toán như là khách"""
"Please define flag code.,""Hãy xác định mã số cờ."""
"Please enter 6 or more characters.,""Hãy nhập 6 ký tự trở lên."""
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.,""Hãy nhập 6 ký tự trở lên. Các khoảng trống hoặc dấu sẽ bị bỏ qua."""
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.,""Hãy nhập 7 ký tự trở lên. Mật khẩu phải chứa cả ký tự chữ và số."""
"Please enter a number 0 or greater in this field.,""Vui lòng nhập một số 0 hoặc lớn hơn."""
"Please enter a number greater than 0 in this field.,""Xin vui lòng nhập một số lớn hơn 0."""
"Please enter a number lower than 100.,""Vui lòng nhập một số nhỏ hơn 100."""
"Please enter a valid $ amount. For example $100.00.,""Vui lòng nhập một giá trị $ hợp lệ. Ví dụ $100.00."""
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".,""Vui lòng nhập khóa URL hợp lệ. Ví dụ """"example-page"""", """"example-page.html"""" or """"anotherlevel/example-page""""."""
"Please enter a valid URL. For example http://www.example.com or www.example.com,""Vui lòng nhập URL hợp lệ. Ví dụ http://www.example.com or www.example.com"""
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://),""Vui lòng nhập URL hợp lệ. Giao thức yêu cầu (http://, https:// or ftp://)"""
"Please enter a valid XML-identifier. For example something_1, block5, id-4.,""Vui lòng nhập một XML-định danh hợp lệ. Ví dụ something_1, block5, id-4."""
"Please enter a valid credit card number.,""Vui lòng nhập một số thẻ tín dụng hợp lệ."""
"Please enter a valid credit card verification number.,""Vui lòng nhập số xác minh thẻ tín dụng hợp lệ."""
"Please enter a valid date between %s and %s,""Vui lòng nhập ngày hợp lệ từ %s đến %s"""
"Please enter a valid date equal to or greater than %s,""Vui lòng nhập một ngày hợp lệ bằng hoặc lớn hơn %s"""
"Please enter a valid date less than or equal to %s,""Vui lòng nhập một ngày hợp lệ nhỏ hơn hoặc bằng %s"""
"Please enter a valid date.,""Vui lòng nhập một ngày hợp lệ."""
"Please enter a valid day (1-%d).,""Vui lòng nhập một ngày hợp lệ (1-%d)."""
"Please enter a valid email address. For example johndoe@domain.com.,""Vui lòng nhập một địa chỉ mail hợp lệ. Ví dụ johndoe@domain.com."""
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.,""Vui lòng nhập số fax hợp lệ. Ví dụ (123) 456-7890 or 123-456-7890."""
"Please enter a valid full date,""Vui lòng nhập ngày tháng đầy đủ hợp lệ"""
"Please enter a valid month (1-12).,""Hãy nhập một tháng hợp lệ (1-12)."""
"Please enter a valid number in this field.,""Hãy nhập một số hợp lệ."""
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,""Hãy nhập một số điện thoại có hiệu lực. Ví dụ (123) 456-7890 or 123-456-7890."""
"Please enter a valid social security number. For example 123-45-6789.,""Hãy nhập một số an ninh xã hội có hiệu lực. Ví dụ 123-45-6789."""
"Please enter a valid year (1900-%d).,""Hãy nhập một năm hợp lệ (1900-%d)."""
"Please enter a valid zip code.,""Vui lòng nhập mã zip hợp lệ."""
"Please enter a valid zip code. For example 90602 or 90602-1234.,leejVui lòng nhập mã zip hợp lệ. Ví dụ 90602 or 90602-1234."""
"Please enter issue number or start date for switch/solo card type.,""Vui lòng nhập số lượng phát hành hoặc ngày bát đầu để chuyển đổi/solo."""
"Please enter valid password.,""Vui lòng nhập mật khẩu hợp lệ."""
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.,""Vui lòng nhập độ dài-CSS hợp lệ. Ví dụ 100px or 77pt or 20em or .5ex or 50%."""
"Please make sure your passwords match.,""Hãy chắc rằng mật khẩu của bạn phù hợp."""
"Please select State/Province.,""Vui lòng chọn tỉnh/thành."""
"Please select an option.,""Phải chọn một giá trị."""
"Please select one of the above options.,""Phải chọn một giá trị."""
"Please select one of the options.,""Phải chọn một giá trị."""
"Please set available and/or protected paths list(s) before validation.,""Hãy thiết lập các đường dẫn sẵn có và/hoặc danh sách các đường dẫn trước khi xác nhận."""
"Please specify either a category or a product, or both.,""Hãy xác định hoặc là một loại hàng hoặc là một sản phẩm, hoặc cả hai."""
"Please specify payment method.,""Vui lòng ghi rõ phương thức thanh toán."""
"Please specify shipping method.,""Hãy xác định phương thức vận chuyển."""
"Please use letters only (a-z or A-Z) in this field.,""Chỉ sử dụng các từ (a-z or A-Z) trong mục này."""
"Please use letters only (a-z) in this field.,""Chỉ sử dụng các từ (a-z) trong mục này."""
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.,""Chỉ sử dụng số trong mục này. Tránh sử dụng các khoảng trống hoặc các ký tự khác như dấu chấm hoặc dấu phẩy."""
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,""Chỉ sử dụng các ký tự (a-z or A-Z) hoặc số (0-9) trong mục này. Không được phép dùng dấu cách hoặc ký tự khác."""
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.,""Chỉ sử dụng các ký tự (a-z or A-Z) hoặc số (0-9) hoặc khoảng trống và # trong mục này."""
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.,""Chỉ sử dụng các ký tự (a-z or A-Z), số (0-9) hoặc dấu gạch dưới (_) trong mục này, từ đầu tiên phải là một ký tự."""
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,""Chỉ sử dụng các ký tự (a-z) hoặc số (0-9) trong mục này. Không được phép sử dụng khoảng trống hoặc các ký tự khác."""
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.,"" Chỉ sử dụng các ký tự (a-z) hoặc số (0-9) hoặc khoảng trống và # trong mục này."""
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.,""Chỉ sử dụng các ký tự (a-z), số (0-9) hoặc dấu gạch dưới (_) trong mục này, từ đầu tiên phải là một ký tự."""
"Please use only visible characters and spaces.,""Vui lòng sử dụng các ký tự nhìn thấy và khoảng trống."""
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.,""Sử dụng định dạng ngày: dd/mm/yyyy. Ví dụ 17/03/2006 cho ngày 17th of March, 2006."""
"Please wait, loading...,""Vui lòng đợi, đang tải..."""
"Polls,""Bình chọn"""
"Port (25),""Cổng (25)"""
"Profiler,""Hồ sơ"""
"Recovery Link Expiration Period (days),""Thời gian phục hồi liên kết hết hạn (ngày)"""
"Request Path for Specified Store,""Yêu cầu đường dẫn cho cửa hàng chỉ định"""
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)"",""Tập tin yêu cầu có thể không bao gồm cây thư mục mẹ (""""../"""", """"..\\ ký hiệu)"""""""
"Requested invalid store ""%s"",""Yêu cầu của cửa hàng không hợp lệ """"%s"""""""
"Resource is not set.,""Tài nguyên không được thiết lập."""
"Retrieve store data,""Lấy dữ liệu lưu trữ"""
"Retrieve store list,""Lấy danh sách cửa hàng"""
"Return-Path Email,""Trở về đường dẫn Email"""
"Root Category,""Danh mục gốc"""
"Sales Representative,""Đại diện bán hàng"""
"Sales Representative Contact Email,""Đại diện bán hàng Liên hệ Email"""
"Sales Representative Contact Name,""Đại diện bán hàng Liên hệ Tên"""
"Save,""Lưu"""
"Save Store,""Lưu cửa hàng"
"Save Store View,""Lưu giao diện cửa hàng"""
"Save Website,""Lưu Website"""
"Search Engines Optimization,""Công cụ tìm kiếm tối ưu"""
"Secure,""An toàn"""
"Security,""Bảo mật"""
"Select Date,""Chọn ngày"""
"Select Media Database,""Chọn phương tiện cơ sở dữ liệu"""
"Sender Email,""Email người gửi"""
"Sender Name,""Tên người gửi"""
"Services,""Dịch vụ"""
"Session Cookie Management,""Quản lý Session Cookie"""
"Session Lifetime (seconds),""Thời gian sống của Session (giây)"""
"Session Validation Settings,""Cài đặt phiên xác thực"""
"Set Return-Path,""Thiết lập đường dẫn trở về"""
"Set as Default,""Thiết lập mặc định"""
"Skin (Images / CSS),""Bề mặt (Hình ảnh / CSS)"""
"Sort Order,""Xếp theo thứ tự"""
"Specified date/time ""%1$s"" do not match format ""%2$s"".,""Xác định ngày/giờ """"%1$s"""" định dạng không phù hợp """"%2$s""""."""
"Start date cannot be greater than end date.,""Ngày bắt đầu không được lớn hơn ngày kết thúc."""
"Startup Page,""Trang khởi động"""
"Status,""Trạng thái"""
"Storage Configuration for Media,""Cấu hình lưu trữ truyền thông"""
"Store,""Cửa hàng"""
"Store API,""Cửa hàng API"""
"Store Contact Address,""Liên hệ địa chỉ khách hàng"""
"Store Contact Information,""Liên hệ thông tin cửa hàng"""
"Store Contact Telephone,""Liên hệ số điện thoại cửa hàng"""
"Store Email Addresses,""Liên hệ địa chỉ mail cửa hàng"""
"Store Information,""Thông tin cửa hàng"""
"Store Name,""Tên cửa hàng"""
"Store View,""Giao diện cửa hàng"""
"Store View Information,""Thông tin giao diện cửa hàng"""
"Store View Name,""Tên giao diện cửa hàng"""
"Store view doesn't exist,""Giao diện cửa hàng không tồn tại"""
"Store with the same code,""Lưu trữ với cùng mã"""
"System,""Hệ thống"""
"System Log File Name,""Tên đăng nhập hệ thống"""
"Template Path Hints,""Gợi ý mẫu đường dẫn"""
"Template Settings,""Thiết lập mẫu"""
"Template Variables,""Biến"""
"Templates,""Bản mẫu"""
"Text length does not satisfy specified text range.,""Độ dài văn bản không đáp ứng phạm vi văn bản quy định."""
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.,""%s bạn nhập không hợp lệ. Hãy chắc rằng định dạng của nó là """"http://domain.com/""""."""
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter,""Mã cửa hàng chỉ có thể chứa các ký tự (a-z), số (0-9) hoặc dấu gạch dưới (_), từ đầu tiên phải là một ký tự"""
"The store does not exist","Cửa hàng không tồn tại"
"The store has been deleted.,""Cửa hàng đã bị xóa."""
"The store has been saved.,""Cửa hàng đã được lưu"""
"The store view has been deleted.,""Giao diện cửa hàng đã bị xóa."""
"The store view has been saved.,""Giao diện cửa hàng đã được lưu"""
"The template Name must not be empty.,""Lớp tên phải là rỗng."""
"The value is not within the specified range.,""Giá trị không nằm trong phạm bi chỉ định."""
"The website does not exist.,""Trang web không tồn tại."""
"The website has been deleted.taijTrang web đã bị xóa."""
"The website has been saved.,""Trang web đã được lưu."""
"Themes,""Chủ đề"""
"This category and all its child elements,""Thể loại này và tất cả các phần tử con của nó"""
"This category and its child categories only,""Chỉ loại hàng này và chủ đề con của nó"""
"This category and its products only,""Chỉ loại hàng và sản phẩm của nó"""
"This category only,""Chỉ loại hàng này"""
"This date is a required value.,""Phải nhập thông tin."""
"This is a required field.,""Phải nhập thông tin."""
"This store cannot be deleted.,""Cửa hàng này không bị xóa."""
"This store view cannot be deleted.,""Giao diện cửa hàng này không bị xóa ."""
"This value must be greater than 0.,""Giá trị này phải lớn hơn 0."""
"This website cannot be deleted.,""Website này không thể xóa."""
"This will be displayed just before body closing tag.,""Sẽ được hiển thị trước thẻ đóng."""
"This will be included before head closing tag in page HTML.,""Sẽ được đưa vào trước thẻ đóng đầu trang HTML."""
"Timezone,""Múi giờ"""
"Title Prefix,""Tiền tố tiêu đề"""
"Title Suffix,""Hậu tố tiêu đề"""
"Translate Inline,""Dịch nội tuyến"""
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.,""Dịch, khối lượng và nơi lưu trữ khác nên được vô hiệu hóa cho cả lối vào và quản trị dịch nội tuyến."""
"Translations,""Dịch"""
"Two and more slashes together are not permitted in request path,""Đường dẫn không được phép có hơn hai dấu gạch chéo"""
"Two and more slashes together are not permitted in url rewrite suffix,""Hậu tố URL không được phép có hơn hai dấu gạch chéo"""
"Unable to create directory: %s,""Không thể tạo thư mục: %s"""
"Unable to delete store view. Please, try again later.,""Không thể xóa giao diện cửa hàng. Xin vui lòng thử lại sau."""
"Unable to delete store. Please, try again later.,""Không thể xóa cửa hàng. Xin vui lòng thử lại sau."""
"Unable to delete website. Please, try again later.,""Khoong thể xóa website.Xin vui lòng thử lại sau."""
"Unable to proceed. Please, try again,""Không thể tiến hành. Vui lòng thử lại"""
"Unable to proceed. Please, try again.,""Không thể tiến hành. Vui lòng thử lại."""
"Unable to save file ""%s"" at ""%s"",""Không thể lưu tập tin """"%s"""" at """"%s"""""""
"Unable to save file: %s,""Không thể lưu tập tin: %s"""
"Unknown old style column type definition: {$definition}.,""Không rõ kiểu định nghĩa cột loại cũ: {$definition}."""
"Unknown scope ""%s"".,""Không rõ phạm vi""""%s""""."""
"Unsecure,""Không an toàn"""
"Url Options,""Tùy chọn Url"""
"Use Custom Admin Path,""Sử dụng tùy chỉnh đường dẫn Admin"""
"Use Custom Admin URL,""Sử dụng tùy chỉnh URL Admin"""
"Use HTTP Only,""Chỉ dùng HTTP"""
"Use SID on Frontend,""Sử dụng SID trên giao diện người dùng"""
"Use Secure URLs in Admin,""Sử dụng các URL an toàn trong Admin"""
"Use Secure URLs in Frontend,""Sử dụng các URL trong giao diện người dùng"""
"Use Web Server Rewrites,""Sử dụng máy chủ web"""
"VAT Number,""Mã số thuế"""
"Validate HTTP_USER_AGENT,""Xác nhận HTTP_USER_AGENT"""
"Validate HTTP_VIA,""Xác nhận HTTP_VIA"""
"Validate HTTP_X_FORWARDED_FOR,""Xác nhận HTTP_X_FORWARDED_FOR"""
"Validate REMOTE_ADDR,""Xác nhận REMOTE_ADDR"""
"Validation has failed.,""Xác nhận thất bại."""
"Values less than 60 are ignored. Note that changes will apply after logout.,""Bỏ qua các giá trị dưới 60. Lưu ý rằng những thay đổi sẽ được áp dụng sau khi đăng xuất"""
"Variable Code must be unique.,""Mã biến số phải là duy nhất."""
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.,""Cảnh báo! Việc kích hoạt tính năng này không được khuyến cáo trên các môi trường sản xuất vì nó đại diện cho một tiềm năng nguy cơ bảo mật"
"Web","Web"
"Website","Website"
"Website Information","Thông tin Website "
"Website Name,""Tên Website"""
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter,""Mã trang web chỉ có thể chứa các chữ cái (a-z), số (0-9) hoặc dấu gạch dưới (_), từ đầu tiên nên là một chữ cái"""
"Website with the same code,""Mã cùng với Website"""
"Weekend Days,""Ngày cuối tuần"""
"Welcome Text,""Văn bản chào mừng"""
"Wrong file info format,""Định dạng thông tin lỗi tập tin """
"Wrong number of arguments for %s,""Sai số của các đối số cho %s"""
"Wrong old style column type definition: {$definition}.,""Định nghĩa sai loại kiểu cột: {$definition}."""
"Yes,""Đồng ý"""
